tripduration', 'starttime', 'stoptime', 'start station id', 'start station name', 'start station latitude', 'start station longitude', 'end station id', 'end station name', 'end station latitude', 'end station longitude', 'bikeid', 'usertype', 'birth year', 'gender'
1808,5/21/15 16:07,5/21/15 16:37,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17494,Subscriber,1989,2
1560,5/22/15 7:55,5/22/15 8:21,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19149,Subscriber,1965,1
2415,5/22/15 13:27,5/22/15 14:07,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17551,Subscriber,1982,1
1367,5/23/15 9:02,5/23/15 9:24,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20569,Subscriber,1973,2
1585,5/24/15 11:05,5/24/15 11:32,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15885,Subscriber,1974,1
1309,5/24/15 20:11,5/24/15 20:33,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17595,Subscriber,1966,1
1469,5/25/15 10:50,5/25/15 11:14,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15139,Customer,,0
1981,5/25/15 14:25,5/25/15 14:58,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,21567,Subscriber,1990,1
1970,5/25/15 14:25,5/25/15 14:58,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20043,Subscriber,1959,2
1964,5/25/15 14:25,5/25/15 14:58,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18474,Subscriber,1958,1
1725,5/25/15 14:46,5/25/15 15:15,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19591,Customer,,0
